num,   avg   ,   std   ,  max ,  w_avg  ,  w_std  
  0, 44133.00, 10692.79, 75000, 56220.00, 7590.48
  1, 44557.25, 9976.78, 83500, 56056.00, 6872.99
  2, 43377.00, 9405.40, 80200, 53964.00, 6521.10
  3, 43609.00, 10749.91, 78400, 55037.00, 7719.59
  4, 43695.00, 9911.56, 74800, 55153.00, 6718.86
  5, 43888.00, 10770.14, 85200, 56131.00, 8341.17
  6, 43854.50, 10327.15, 73800, 55726.00, 7433.63
  7, 43863.00, 10250.52, 72800, 55525.00, 5887.13
  8, 44659.00, 10471.77, 71100, 56875.00, 6723.78
  9, 45070.75, 10522.73, 78500, 57074.00, 6833.38
 10, 44780.00, 10685.84, 80600, 56398.00, 7420.45
 11, 44940.25, 9659.44, 80900, 55867.00, 6729.13
 12, 45217.50, 10548.11, 76500, 57641.00, 7814.22
 13, 45801.25, 10144.06, 78500, 56285.00, 7233.05
 14, 45791.00, 10728.49, 77200, 57754.00, 6831.94
 15, 45559.75, 10519.63, 84300, 57170.00, 6634.54
 16, 46125.50, 10841.51, 82600, 59005.00, 7345.06
 17, 45423.75, 10864.71, 74500, 57463.00, 7053.38
 18, 46011.25, 10529.26, 81400, 57993.00, 7265.96
 19, 45317.50, 10254.04, 75000, 56954.00, 7095.67
 20, 44993.50, 10936.47, 83600, 57198.00, 7893.47
 21, 43873.75, 10408.83, 84000, 55221.00, 7702.38
 22, 43959.25, 10410.27, 84600, 55721.00, 7439.33
 23, 43023.00, 10063.31, 76200, 53402.00, 7930.66
 24, 43091.75, 10776.01, 73900, 55271.00, 7034.91
 25, 44422.50, 9850.62, 69900, 55191.00, 6353.18
 26, 43617.25, 10073.50, 75100, 54610.00, 7637.73
 27, 43201.50, 11281.39, 81600, 55811.00, 8513.58
 28, 42203.00, 10612.89, 90800, 54007.00, 7940.09
 29, 42862.75, 10697.09, 71100, 55574.00, 6544.62
 30, 43017.00, 10517.93, 86700, 54829.00, 7509.78
 31, 43732.50, 10756.93, 78500, 55968.00, 7964.03
 32, 43324.00, 10647.27, 75800, 54734.00, 7941.26
 33, 44034.50, 9907.02, 71200, 54874.00, 7346.51
 34, 43922.00, 9914.66, 76300, 55154.00, 7558.52
 35, 44233.00, 10341.10, 74600, 55560.00, 7016.95
 36, 45175.00, 10710.69, 80800, 57001.00, 7967.74
 37, 45508.50, 10512.07, 83000, 57261.00, 7980.96
 38, 44029.50, 11483.70, 83900, 56732.00, 7910.95
 39, 43791.25, 10481.54, 79200, 55572.00, 7460.25
 40, 43038.25, 10897.06, 77500, 55189.00, 8105.43
