Random1 score,Random2 score,Random3 score,Flex1 score,Random1 won,Random2 won,Random3 won,Flex1 won
40300,55600,31300,32700,0,1,0,0
50500,38400,36600,48800,1,0,0,0
30200,40400,53800,55200,0,0,0,1
23900,49500,67300,61700,0,0,1,0
40000,49000,36800,51000,0,0,0,1
55100,41200,55400,52400,0,0,1,0
41400,53700,51100,44900,0,1,0,0
32900,71000,63900,46200,0,1,0,0
64500,38800,42500,55000,1,0,0,0
41800,30300,43400,54800,0,0,0,1
53600,41600,48000,52700,1,0,0,0
40300,39100,54800,52000,0,0,1,0
63400,29500,31300,59500,1,0,0,0
52600,35700,43400,40300,1,0,0,0
23800,46700,68500,45500,0,0,1,0
40000,47400,46600,72700,0,0,0,1
30900,52600,39600,56300,0,0,0,1
52200,41400,50500,40500,1,0,0,0
44400,44800,31200,43000,0,1,0,0
50500,54900,51600,44700,0,1,0,0
57400,50200,34600,51800,1,0,0,0
36500,43900,35200,47300,0,0,0,1
44800,38500,48900,53200,0,0,0,1
25700,48500,32400,56800,0,0,0,1
45100,34600,54700,56800,0,0,0,1
51900,24000,45400,51200,1,0,0,0
31400,64500,25600,41800,0,1,0,0
41700,60400,40100,44900,0,1,0,0
47100,37000,46200,48700,0,0,0,1
48400,42600,55800,59800,0,0,0,1
49100,50300,40000,44400,0,1,0,0
34500,40300,53900,50200,0,0,1,0
44200,61600,34400,52500,0,1,0,0
39500,50800,45500,35900,0,1,0,0
37200,59900,43000,63000,0,0,0,1
80500,33500,61500,32600,1,0,0,0
33800,61300,34500,49400,0,1,0,0
41500,53600,41800,54400,0,0,0,1
48000,38800,42900,26800,1,0,0,0
68400,39600,27700,57700,1,0,0,0
45100,50000,30100,48000,0,1,0,0
48100,58600,26800,41900,0,1,0,0
46500,42900,57700,31800,0,0,1,0
38900,39900,58000,28000,0,0,1,0
29900,53200,51400,34500,0,1,0,0
64600,51100,43600,42000,1,0,0,0
38400,53700,44500,44400,0,1,0,0
42200,37800,48800,37500,0,0,1,0
43100,25800,56800,62200,0,0,0,1
42200,49800,25300,51300,0,0,0,1
48700,52800,44100,64400,0,0,0,1
36900,52400,36400,45100,0,1,0,0
44300,33800,40500,50800,0,0,0,1
52800,50300,27800,49600,1,0,0,0
60700,38800,58300,38900,1,0,0,0
38000,35100,40500,63400,0,0,0,1
37600,40800,58700,56300,0,0,1,0
53900,42600,42800,21400,1,0,0,0
50500,45900,50800,49600,0,0,1,0
34500,41400,53300,37900,0,0,1,0
44700,51100,29400,47500,0,1,0,0
62300,50900,33000,55400,1,0,0,0
43300,44200,64200,45400,0,0,1,0
40800,40500,56100,37300,0,0,1,0
37500,70300,35300,46100,0,1,0,0
51700,45200,44500,42000,1,0,0,0
46900,52400,61500,40400,0,0,1,0
44100,46600,33400,57900,0,0,0,1
43600,49000,50900,52000,0,0,0,1
46400,65100,45400,40500,0,1,0,0
60400,61000,41000,52100,0,1,0,0
33300,48200,49000,37500,0,0,1,0
43400,37900,31400,76200,0,0,0,1
54600,36300,44100,53200,1,0,0,0
40900,37700,46400,45000,0,0,1,0
32800,60400,49100,46100,0,1,0,0
46900,65400,47500,30000,0,1,0,0
39200,40600,45200,67700,0,0,0,1
43100,48300,36600,39000,0,1,0,0
45300,39000,45900,52500,0,0,0,1
32200,56300,38400,60700,0,0,0,1
39300,34200,64300,68700,0,0,0,1
52700,47100,43800,57300,0,0,0,1
44300,29200,52800,57300,0,0,0,1
35600,41600,28800,56400,0,0,0,1
52200,42100,33700,63300,0,0,0,1
39400,62200,34400,63900,0,0,0,1
36500,39800,58800,60200,0,0,0,1
57700,39600,25800,55100,1,0,0,0
43600,52800,30100,55500,0,0,0,1
53400,53500,55600,47600,0,0,1,0
45700,55600,50000,42800,0,1,0,0
40100,53100,50600,52900,0,1,0,0
36000,64400,39100,64500,0,0,0,1
29800,51200,24500,61600,0,0,0,1
41200,57200,32200,43100,0,1,0,0
42900,56900,37200,31200,0,1,0,0
24500,34400,43500,63800,0,0,0,1
38700,50700,37400,55500,0,0,0,1
55200,36600,31100,68500,0,0,0,1
58600,34200,26000,54900,1,0,0,0
