Random1 score,Random2 score,Random3 score,Flex1 score,Random1 won,Random2 won,Random3 won,Flex1 won
43200,30800,41800,36400,1,0,0,0
35700,26600,38400,51500,0,0,0,1
40300,52800,38300,48000,0,1,0,0
49300,22700,47400,39300,1,0,0,0
47700,40800,48400,55500,0,0,0,1
42200,42500,42300,49800,0,0,0,1
42000,58900,28200,31500,0,1,0,0
39300,47600,27400,53100,0,0,0,1
44100,38200,31000,49800,0,0,0,1
38700,52700,50100,35000,0,1,0,0
38600,41300,40500,52000,0,0,0,1
36400,54800,33300,45200,0,1,0,0
23200,65400,39700,53200,0,1,0,0
47600,36000,26000,44900,1,0,0,0
30800,54900,37900,59800,0,0,0,1
59900,38800,42900,43200,1,0,0,0
34900,53300,37200,37500,0,1,0,0
28900,60000,49400,45100,0,1,0,0
52500,37000,36300,40900,1,0,0,0
22500,47300,42800,39500,0,1,0,0
48600,48500,46300,44000,1,0,0,0
47200,37000,47000,34700,1,0,0,0
24900,45600,45000,48500,0,0,0,1
45900,48600,44900,45300,0,1,0,0
42600,53200,30700,25600,0,1,0,0
38300,64400,37300,53800,0,1,0,0
53800,34100,43300,50800,1,0,0,0
35100,55400,46300,51600,0,1,0,0
43400,23800,58100,40700,0,0,1,0
61400,31200,38400,42900,1,0,0,0
47800,59800,32200,38100,0,1,0,0
40600,61000,49700,38600,0,1,0,0
43500,24600,58500,38700,0,0,1,0
50100,49800,39100,50600,0,0,0,1
42400,43400,53200,62700,0,0,0,1
39300,39000,59300,41600,0,0,1,0
45400,30400,29400,45800,0,0,0,1
32800,59700,46900,37100,0,1,0,0
43500,57900,28600,39700,0,1,0,0
30200,53900,42500,48700,0,1,0,0
30600,40700,53800,26500,0,0,1,0
43500,39500,49100,59300,0,0,0,1
67200,35700,31400,67000,1,0,0,0
42300,32200,54000,51400,0,0,1,0
38300,46300,57600,65300,0,0,0,1
53800,36200,41200,47900,1,0,0,0
30900,45400,44900,49300,0,0,0,1
31500,44300,41000,46800,0,0,0,1
46400,37200,53400,50900,0,0,1,0
63200,38000,40300,60100,1,0,0,0
48200,48200,41400,58500,0,0,0,1
53900,36800,40500,57400,0,0,0,1
49200,40800,37100,41000,1,0,0,0
29700,34200,29000,60400,0,0,0,1
54500,42300,45500,50700,1,0,0,0
41900,55600,45500,39800,0,1,0,0
62700,26300,56900,47700,1,0,0,0
44400,38700,40400,42600,1,0,0,0
32300,40600,52500,60300,0,0,0,1
50200,29600,45900,41900,1,0,0,0
29100,45800,37300,32000,0,1,0,0
41100,49300,33600,33600,0,1,0,0
39800,34500,55400,41500,0,0,1,0
35200,49500,56000,37800,0,0,1,0
33100,46800,22500,40100,0,1,0,0
40800,39000,45200,41000,0,0,1,0
61400,36900,39600,48100,1,0,0,0
48300,62000,39800,71300,0,0,0,1
51400,48300,38900,52000,0,0,0,1
32900,45700,42500,33300,0,1,0,0
46700,45900,32600,50400,0,0,0,1
40000,41600,29400,35200,0,1,0,0
26200,53600,57700,53000,0,0,1,0
70000,29200,50100,62600,1,0,0,0
39600,48400,35800,48100,0,1,0,0
39000,53300,53200,42300,0,1,0,0
56400,55900,34200,55200,1,0,0,0
49700,37600,28700,63200,0,0,0,1
39700,44000,60800,48600,0,0,1,0
60900,25300,45500,71400,0,0,0,1
42300,48500,52500,46300,0,0,1,0
33200,53800,37700,40700,0,1,0,0
42600,43100,42800,67300,0,0,0,1
67100,48000,43600,53700,1,0,0,0
38100,44700,43200,65300,0,0,0,1
47700,28400,54200,58300,0,0,0,1
39000,46400,42900,47600,0,0,0,1
55400,36600,40100,26100,1,0,0,0
23200,45700,46800,74700,0,0,0,1
21000,59500,43900,65900,0,0,0,1
33900,32100,52700,25700,0,0,1,0
56400,36800,42400,47300,1,0,0,0
50900,35600,47700,40300,1,0,0,0
39100,52800,67500,57900,0,0,1,0
33300,58500,23100,52900,0,1,0,0
46200,46700,48400,61900,0,0,0,1
59800,37700,40500,49700,1,0,0,0
44100,56900,39600,53100,0,1,0,0
