Random1 score,Random2 score,Random3 score,Flex2 score,Random1 won,Random2 won,Random3 won,Flex2 won
33000,36000,45100,72300,0,0,0,1
46600,49900,33300,62900,0,0,0,1
38100,46700,27900,67900,0,0,0,1
39200,36300,24700,79500,0,0,0,1
43700,38700,20700,53000,0,0,0,1
31900,40200,18500,63900,0,0,0,1
43100,48500,29500,73900,0,0,0,1
27000,33000,28800,63500,0,0,0,1
41700,35600,30700,63000,0,0,0,1
20700,43000,37600,62000,0,0,0,1
49900,21400,35500,68800,0,0,0,1
29400,37700,47600,81500,0,0,0,1
48600,27800,38200,70100,0,0,0,1
37900,33000,33800,81900,0,0,0,1
67100,40900,28300,81600,0,0,0,1
24900,45900,36900,90000,0,0,0,1
47600,34300,25000,54800,0,0,0,1
49400,33800,31600,72600,0,0,0,1
41500,25500,45700,58600,0,0,0,1
49900,46800,40400,65000,0,0,0,1
20700,35200,31500,68100,0,0,0,1
35000,36300,37800,66200,0,0,0,1
50100,26900,49000,70000,0,0,0,1
35300,26400,31500,56000,0,0,0,1
43200,40500,34900,83100,0,0,0,1
35900,43600,45600,68500,0,0,0,1
30500,56400,30700,87400,0,0,0,1
35400,44700,21100,83100,0,0,0,1
32100,35900,25900,71500,0,0,0,1
43100,32900,33600,77700,0,0,0,1
62700,34800,29000,76500,0,0,0,1
28700,33600,45400,75300,0,0,0,1
20500,21300,53200,65300,0,0,0,1
44000,37200,26500,70800,0,0,0,1
48900,40200,30700,76900,0,0,0,1
35300,46600,28200,86100,0,0,0,1
49000,36600,37800,62200,0,0,0,1
39800,51800,37400,69700,0,0,0,1
37000,42300,32600,70100,0,0,0,1
32600,44300,33100,78300,0,0,0,1
29400,43600,43100,64600,0,0,0,1
41500,34200,40900,70000,0,0,0,1
28400,39600,36400,91500,0,0,0,1
27400,52000,18300,62200,0,0,0,1
36200,35700,38300,82500,0,0,0,1
43900,42200,21900,75000,0,0,0,1
33300,35800,30200,72900,0,0,0,1
29600,46000,29200,72700,0,0,0,1
41100,31300,23000,46700,0,0,0,1
44900,43900,25700,92200,0,0,0,1
42200,32000,32400,87700,0,0,0,1
45000,27900,41700,69000,0,0,0,1
39900,26300,27700,70900,0,0,0,1
40700,42700,31900,82200,0,0,0,1
32800,53300,43700,70600,0,0,0,1
33300,53000,25100,66900,0,0,0,1
22400,38000,51200,76700,0,0,0,1
39500,23500,28400,67500,0,0,0,1
45100,40400,29300,74100,0,0,0,1
59700,32100,33900,55400,1,0,0,0
30700,26700,47100,59300,0,0,0,1
42200,32300,57300,53600,0,0,1,0
47600,40000,33500,65400,0,0,0,1
33900,40500,18600,68400,0,0,0,1
45400,19500,44500,61000,0,0,0,1
36300,22900,45800,57900,0,0,0,1
35700,41200,56100,63300,0,0,0,1
34500,29400,30300,81700,0,0,0,1
26900,55200,28200,58400,0,0,0,1
41500,32000,48800,58700,0,0,0,1
38300,41300,35200,75300,0,0,0,1
37800,20400,32700,71800,0,0,0,1
31900,58800,39200,58400,0,1,0,0
54400,37400,42300,66000,0,0,0,1
49700,31500,30200,60200,0,0,0,1
56200,26900,37300,69000,0,0,0,1
32900,23300,44200,74500,0,0,0,1
41200,42400,29400,69000,0,0,0,1
41500,41300,40800,75600,0,0,0,1
48800,42200,30700,82200,0,0,0,1
26000,57700,31000,67800,0,0,0,1
26600,38200,42300,85500,0,0,0,1
23800,40800,28400,55100,0,0,0,1
52700,24100,37100,69300,0,0,0,1
37200,43500,52100,57800,0,0,0,1
16500,33100,45500,57200,0,0,0,1
35600,39400,39700,73200,0,0,0,1
37600,34700,53700,67800,0,0,0,1
34600,36600,50900,80400,0,0,0,1
34300,40300,35900,66200,0,0,0,1
49700,54800,22600,63400,0,0,0,1
19600,39700,48500,57300,0,0,0,1
42900,23800,31500,58000,0,0,0,1
43200,35400,27500,78400,0,0,0,1
40700,39600,43800,81000,0,0,0,1
39600,51200,16300,54900,0,0,0,1
31600,40000,44100,64500,0,0,0,1
26200,51100,24900,80200,0,0,0,1
22400,56800,43900,73100,0,0,0,1
34900,39300,23000,94200,0,0,0,1
31500,31000,37900,67500,0,0,0,1
20300,43800,38900,74700,0,0,0,1
37500,32200,35400,75200,0,0,0,1
37800,32400,44400,79500,0,0,0,1
37400,26300,47200,93100,0,0,0,1
48100,36800,38600,70700,0,0,0,1
35500,39400,43400,71500,0,0,0,1
28800,46700,20500,62900,0,0,0,1
29000,26500,36700,67900,0,0,0,1
42500,36800,37100,73000,0,0,0,1
39500,29500,42400,61700,0,0,0,1
38700,37700,42400,73300,0,0,0,1
36600,39700,46500,69300,0,0,0,1
41200,30500,38500,69300,0,0,0,1
40600,33800,37300,75600,0,0,0,1
32100,44300,27900,60700,0,0,0,1
33200,49200,18300,61700,0,0,0,1
49700,38500,36200,73400,0,0,0,1
56800,24000,24600,81300,0,0,0,1
42800,43200,50100,73800,0,0,0,1
22200,33100,35200,62800,0,0,0,1
33700,47100,39300,68600,0,0,0,1
62900,36300,31400,50200,1,0,0,0
44300,42900,32600,75900,0,0,0,1
54400,34200,30300,68800,0,0,0,1
43200,31800,37900,62600,0,0,0,1
46300,36400,36500,72900,0,0,0,1
40500,34300,22800,59600,0,0,0,1
42800,33500,22400,69700,0,0,0,1
20600,48000,24000,86900,0,0,0,1
34000,36100,44900,89400,0,0,0,1
47600,24500,45000,78400,0,0,0,1
47700,33900,45400,56400,0,0,0,1
24700,50700,22800,74400,0,0,0,1
43100,35500,46000,68600,0,0,0,1
40100,24100,38000,70900,0,0,0,1
44500,45600,38100,59300,0,0,0,1
30300,39400,31900,70600,0,0,0,1
45400,36400,17200,76900,0,0,0,1
37500,53500,30600,76200,0,0,0,1
37100,35900,31800,79400,0,0,0,1
52200,34900,20900,74200,0,0,0,1
31200,23900,33700,54900,0,0,0,1
46300,50700,37000,72200,0,0,0,1
33700,42500,28600,71500,0,0,0,1
39600,40400,37800,82700,0,0,0,1
28400,41200,35200,56600,0,0,0,1
41900,29400,39100,73000,0,0,0,1
39000,39700,29200,87800,0,0,0,1
41200,26800,33300,59500,0,0,0,1
