Flex4 score,Flex3 score,Flex1 score,Flex2 score,Flex4 won,Flex3 won,Flex1 won,Flex2 won
62100,46500,30900,39100,1,0,0,0
57500,42500,35900,52700,1,0,0,0
51000,48500,35300,44500,1,0,0,0
61400,39400,35000,38500,1,0,0,0
49300,59800,28500,40900,0,1,0,0
51800,47300,32700,36800,1,0,0,0
73300,50500,39500,36700,1,0,0,0
60400,45500,42800,45100,1,0,0,0
56100,55200,49500,43000,1,0,0,0
72300,46200,29800,34800,1,0,0,0
53900,52200,34300,52900,1,0,0,0
57400,48600,46400,42200,1,0,0,0
50400,36700,34800,34100,1,0,0,0
51100,44700,43100,44000,1,0,0,0
47100,46000,59100,41900,0,0,1,0
66500,40300,29100,41700,1,0,0,0
49400,49500,30500,59400,0,0,0,1
49000,55900,39200,49100,0,1,0,0
59100,48600,38800,46200,1,0,0,0
57900,53000,33000,51500,1,0,0,0
60900,45000,38700,42300,1,0,0,0
62600,61200,51600,40800,1,0,0,0
40800,43200,31600,54100,0,0,0,1
70400,43000,40800,41200,1,0,0,0
69400,50200,42800,47100,1,0,0,0
42600,48400,43300,50400,0,0,0,1
53700,41500,44500,33800,1,0,0,0
62200,46700,44100,50000,1,0,0,0
64800,42500,48600,35600,1,0,0,0
62100,55100,43000,54800,1,0,0,0
49200,48600,64200,41800,0,0,1,0
62800,49100,29200,48300,1,0,0,0
59600,44800,43900,51400,1,0,0,0
64600,44400,39700,29600,1,0,0,0
54300,42100,52200,46500,1,0,0,0
69100,58000,39300,45000,1,0,0,0
62600,44900,27000,28900,1,0,0,0
44500,51900,34700,43400,0,1,0,0
64000,46800,43900,46400,1,0,0,0
64400,53400,33700,47900,1,0,0,0
63600,55300,40500,44600,1,0,0,0
55100,45400,40000,44100,1,0,0,0
70500,37500,46100,36200,1,0,0,0
60600,39200,41600,42700,1,0,0,0
64700,44100,43200,56000,1,0,0,0
59800,46100,38100,51800,1,0,0,0
65900,58200,33000,47200,1,0,0,0
65100,60100,27300,45800,1,0,0,0
63700,57300,42700,33900,1,0,0,0
49700,53700,53000,57800,0,0,0,1
45200,45500,61500,51000,0,0,1,0
57900,50100,28700,41500,1,0,0,0
64100,55200,51000,38900,1,0,0,0
64000,44600,29900,59000,1,0,0,0
58100,42000,33300,45500,1,0,0,0
55700,51500,36200,37100,1,0,0,0
66400,56200,39100,50700,1,0,0,0
56700,36400,30500,48200,1,0,0,0
48900,46200,57700,42600,0,0,1,0
59400,54900,31600,48300,1,0,0,0
46600,37800,29100,47500,0,0,0,1
64500,41500,39100,45900,1,0,0,0
68800,44600,31000,31700,1,0,0,0
63700,52400,24800,47200,1,0,0,0
75400,40500,38100,49400,1,0,0,0
50800,43500,42500,44800,1,0,0,0
57100,43000,36600,39900,1,0,0,0
70500,39200,27300,42600,1,0,0,0
63800,49200,33600,39900,1,0,0,0
50500,41900,53200,48700,0,0,1,0
64200,54400,31200,46900,1,0,0,0
62500,30200,33000,57600,1,0,0,0
61800,51300,44900,58200,1,0,0,0
55300,41700,48200,49200,1,0,0,0
47700,43800,38100,55800,0,0,0,1
62800,44900,35500,45400,1,0,0,0
65500,40500,29000,45300,1,0,0,0
46600,48300,52200,49800,0,0,1,0
68500,42700,24700,49300,1,0,0,0
40000,58000,43200,53700,0,1,0,0
66800,50100,51300,48300,1,0,0,0
55600,47100,35700,58700,0,0,0,1
56300,44400,51400,45000,1,0,0,0
60100,52200,31900,30700,1,0,0,0
46600,42700,51800,43600,0,0,1,0
45100,43600,51200,67300,0,0,0,1
53700,45700,30200,45800,1,0,0,0
55600,51600,38600,45200,1,0,0,0
67200,49500,37100,39300,1,0,0,0
53200,45700,47200,41700,1,0,0,0
61100,45800,39500,48000,1,0,0,0
65700,44900,51200,34700,1,0,0,0
61900,49300,48200,42100,1,0,0,0
71100,39600,30600,39300,1,0,0,0
55400,36900,40100,43300,1,0,0,0
65700,48300,39700,49500,1,0,0,0
59500,51400,28300,49000,1,0,0,0
59600,38500,50000,29800,1,0,0,0
53300,46400,59900,44200,0,0,1,0
63700,46900,33200,36200,1,0,0,0
59100,53700,43000,43800,1,0,0,0
55600,52100,36600,43100,1,0,0,0
48000,66300,39400,49500,0,1,0,0
66400,41100,38600,52300,1,0,0,0
46700,51600,56400,50100,0,0,1,0
62100,44300,31500,48300,1,0,0,0
61300,51600,48500,54800,1,0,0,0
60300,48900,31600,42800,1,0,0,0
59800,48400,46100,54800,1,0,0,0
62400,46900,35700,48000,1,0,0,0
